LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
53m         Normal    Started             pod/web-imperative                     Container started
53m         Normal    Created             pod/web-imperative                     Container created
53m         Normal    Pulled              pod/web-imperative                     Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
53m         Normal    Scheduled           pod/web-imperative                     Successfully assigned dso202-practical-01/web-imperative to worker-node-2
50m         Normal    Killing             pod/web-imperative                     Stopping container web-imperative
22m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-fqwsx
22m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-fqwsx    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-fqwsx to worker-node-2
22m         Normal    Killing             pod/web-deployment-76ddf5fcf9-5qjpj    Stopping container web
22m         Normal    Created             pod/web-deployment-76ddf5fcf9-fqwsx    Container created
22m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-fqwsx    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
22m         Normal    Started             pod/web-deployment-76ddf5fcf9-fqwsx    Container started
22m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-m8rhz    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-m8rhz to worker-node-2
22m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-k7jlv    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
22m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-m8rhz
22m         Normal    Started             pod/web-deployment-76ddf5fcf9-m8rhz    Container started
22m         Normal    Created             pod/web-deployment-76ddf5fcf9-m8rhz    Container created
22m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-76ddf5fcf9 from 3 to 5
22m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-m8rhz    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
22m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-k7jlv    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-k7jlv to worker-node-2
22m         Normal    Started             pod/web-deployment-76ddf5fcf9-k7jlv    Container started
22m         Normal    Created             pod/web-deployment-76ddf5fcf9-k7jlv    Container created
22m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-k7jlv
21m         Normal    Pulling             pod/web-deployment-ddd46bfd-zl7bp      Pulling image "nginx:1.31-alpine"
21m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-zl7bp
21m         Normal    Scheduled           pod/web-deployment-ddd46bfd-zl7bp      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-zl7bp to worker-node-1
21m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 0 to 1
21m         Normal    Created             pod/web-deployment-ddd46bfd-zl7bp      Container created
21m         Normal    Pulled              pod/web-deployment-ddd46bfd-zl7bp      Successfully pulled image "nginx:1.31-alpine" in 16.915s (16.915s including waiting). Image size: 26079904 bytes.
21m         Normal    Started             pod/web-deployment-ddd46bfd-zl7bp      Container started
21m         Normal    Scheduled           pod/web-deployment-ddd46bfd-4px7m      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-4px7m to worker-node-2
21m         Normal    Pulling             pod/web-deployment-ddd46bfd-4px7m      Pulling image "nginx:1.31-alpine"
21m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 1 to 2
21m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 5 to 4
21m         Normal    Killing             pod/web-deployment-76ddf5fcf9-k7jlv    Stopping container web
21m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-k7jlv
21m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-4px7m
20m         Normal    Started             pod/web-deployment-ddd46bfd-4px7m      Container started
20m         Normal    Created             pod/web-deployment-ddd46bfd-4px7m      Container created
20m         Normal    Pulled              pod/web-deployment-ddd46bfd-4px7m      Successfully pulled image "nginx:1.31-alpine" in 25.895s (25.895s including waiting). Image size: 26079904 bytes.
20m         Normal    Started             pod/web-deployment-ddd46bfd-jxkp5      Container started
20m         Normal    Created             pod/web-deployment-ddd46bfd-jxkp5      Container created
20m         Normal    Pulled              pod/web-deployment-ddd46bfd-jxkp5      Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
20m         Normal    Scheduled           pod/web-deployment-ddd46bfd-jxkp5      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-jxkp5 to worker-node-1
20m         Normal    Killing             pod/web-deployment-76ddf5fcf9-m8rhz    Stopping container web
20m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-jxkp5
20m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 4 to 3
20m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 2 to 3
20m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-m8rhz
20m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-5nxqc
20m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 3 to 4
20m         Normal    Created             pod/web-deployment-ddd46bfd-5nxqc      Container created
20m         Normal    Pulled              pod/web-deployment-ddd46bfd-5nxqc      Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
20m         Normal    Scheduled           pod/web-deployment-ddd46bfd-5nxqc      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-5nxqc to worker-node-2
20m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-c9tmm
20m         Normal    Started             pod/web-deployment-ddd46bfd-5nxqc      Container started
20m         Normal    Killing             pod/web-deployment-76ddf5fcf9-c9tmm    Stopping container web
20m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 3 to 2
20m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-fqwsx
20m         Normal    Killing             pod/web-deployment-76ddf5fcf9-fqwsx    Stopping container web
