LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
76m         Warning   FailedScheduling        pod/shared-writer-6f4b987c7b-zd6xd        running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "shared-data": the object has been modified; please apply your changes to the latest version and try again
76m         Normal    Provisioning            persistentvolumeclaim/shared-data         External provisioner is provisioning volume for claim "dso202-practical-02/shared-data"
76m         Normal    ExternalProvisioning    persistentvolumeclaim/shared-data         Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
76m         Normal    WaitForFirstConsumer    persistentvolumeclaim/shared-data         waiting for first consumer to be created before binding
76m         Warning   FailedScheduling        pod/shared-writer-6f4b987c7b-7ltcf        running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "shared-data": the object has been modified; please apply your changes to the latest version and try again
76m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-m7qwg
76m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-zd6xd
76m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-7ltcf
76m         Normal    ScalingReplicaSet       deployment/shared-writer                  Scaled up replica set shared-writer-6f4b987c7b from 0 to 3
76m         Normal    ProvisioningSucceeded   persistentvolumeclaim/shared-data         Successfully provisioned volume pvc-c4451f87-bcaa-43d9-b8d2-88abcd2e2b9e
76m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-7ltcf        Container image "busybox:1.37" already present on machine and can be accessed by the pod
76m         Normal    Started                 pod/shared-writer-6f4b987c7b-7ltcf        Container started
76m         Normal    Created                 pod/shared-writer-6f4b987c7b-zd6xd        Container created
76m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-7ltcf        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-7ltcf to worker-node-2
76m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-m7qwg        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-m7qwg to worker-node-2
76m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-m7qwg        Container image "busybox:1.37" already present on machine and can be accessed by the pod
76m         Normal    Created                 pod/shared-writer-6f4b987c7b-m7qwg        Container created
76m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-zd6xd        Container image "busybox:1.37" already present on machine and can be accessed by the pod
76m         Normal    Created                 pod/shared-writer-6f4b987c7b-7ltcf        Container created
76m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-zd6xd        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-zd6xd to worker-node-2
76m         Normal    Started                 pod/shared-writer-6f4b987c7b-m7qwg        Container started
76m         Normal    Started                 pod/shared-writer-6f4b987c7b-zd6xd        Container started
75m         Normal    Killing                 pod/shared-writer-6f4b987c7b-7ltcf        Stopping container writer
75m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-htzcg        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-htzcg to worker-node-2
75m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-4kg84
75m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-htzcg
75m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-jkw29
75m         Normal    Killing                 pod/shared-writer-6f4b987c7b-m7qwg        Stopping container writer
75m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-jkw29        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-jkw29 to worker-node-2
75m         Normal    Killing                 pod/shared-writer-6f4b987c7b-zd6xd        Stopping container writer
75m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-4kg84        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-4kg84 to worker-node-2
75m         Normal    Created                 pod/shared-writer-6f4b987c7b-htzcg        Container created
75m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-4kg84        Container image "busybox:1.37" already present on machine and can be accessed by the pod
75m         Normal    Created                 pod/shared-writer-6f4b987c7b-4kg84        Container created
75m         Normal    Started                 pod/shared-writer-6f4b987c7b-4kg84        Container started
75m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-htzcg        Container image "busybox:1.37" already present on machine and can be accessed by the pod
75m         Normal    Started                 pod/shared-writer-6f4b987c7b-htzcg        Container started
75m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-jkw29        Container image "busybox:1.37" already present on machine and can be accessed by the pod
75m         Normal    Created                 pod/shared-writer-6f4b987c7b-jkw29        Container created
75m         Normal    Started                 pod/shared-writer-6f4b987c7b-jkw29        Container started
74m         Normal    Killing                 pod/shared-writer-6f4b987c7b-jkw29        Stopping container writer
74m         Normal    Killing                 pod/shared-writer-6f4b987c7b-4kg84        Stopping container writer
74m         Normal    Killing                 pod/shared-writer-6f4b987c7b-htzcg        Stopping container writer
73m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-0   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
73m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-0   waiting for first consumer to be created before binding
73m         Normal    Provisioning            persistentvolumeclaim/content-webnote-0   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-0"
73m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-0 Pod webnote-0 in StatefulSet webnote success
73m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-0   Successfully provisioned volume pvc-1137b9af-245d-4eb6-b0ee-ce8fdaabe530
73m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
73m         Normal    Created                 pod/webnote-0                             Container created
73m         Normal    Started                 pod/webnote-0                             Container started
73m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
73m         Normal    Pulling                 pod/webnote-0                             Pulling image "nginx:1.30-alpine"
71m         Normal    Pulled                  pod/webnote-0                             Successfully pulled image "nginx:1.30-alpine" in 1m40.116s (1m40.116s including waiting). Image size: 26064016 bytes.
71m         Normal    Created                 pod/webnote-0                             Container created
71m         Normal    Started                 pod/webnote-0                             Container started
71m         Normal    Provisioning            persistentvolumeclaim/content-webnote-1   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-1"
71m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-1   waiting for first consumer to be created before binding
71m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-1   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
71m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-1 Pod webnote-1 in StatefulSet webnote success
71m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-1   Successfully provisioned volume pvc-c0c22d67-34dd-421e-8830-ea27017153e6
71m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
71m         Normal    Started                 pod/webnote-1                             Container started
71m         Normal    Created                 pod/webnote-1                             Container created
71m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
71m         Normal    Pulling                 pod/webnote-1                             Pulling image "nginx:1.30-alpine"
71m         Normal    Created                 pod/webnote-1                             Container created
71m         Normal    Started                 pod/webnote-1                             Container started
71m         Normal    Pulled                  pod/webnote-1                             Successfully pulled image "nginx:1.30-alpine" in 27.755s (27.755s including waiting). Image size: 26064016 bytes.
70m         Normal    Provisioning            persistentvolumeclaim/content-webnote-2   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-2"
70m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-2   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
70m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-2   waiting for first consumer to be created before binding
70m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-2 Pod webnote-2 in StatefulSet webnote success
70m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-2   Successfully provisioned volume pvc-04a5b9fd-9b48-45ba-8cfc-f96d6db49596
70m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
70m         Normal    Created                 pod/webnote-2                             Container created
70m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
70m         Normal    Started                 pod/webnote-2                             Container started
70m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
70m         Normal    Created                 pod/webnote-2                             Container created
70m         Normal    Started                 pod/webnote-2                             Container started
66m         Normal    Scheduled               pod/client                                Successfully assigned dso202-practical-02/client to worker-node-1
66m         Normal    Started                 pod/client                                Container started
66m         Normal    Created                 pod/client                                Container created
66m         Normal    Pulled                  pod/client                                Container image "busybox:1.37" already present on machine and can be accessed by the pod
65m         Normal    Killing                 pod/webnote-1                             Stopping container nginx
65m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
65m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
65m         Normal    Started                 pod/webnote-1                             Container started
65m         Normal    Created                 pod/webnote-1                             Container created
65m         Normal    Pulled                  pod/webnote-1                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
65m         Normal    Started                 pod/webnote-1                             Container started
65m         Normal    Created                 pod/webnote-1                             Container created
65m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-3 in StatefulSet webnote successful
65m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-3   waiting for first consumer to be created before binding
65m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-3   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
65m         Normal    Provisioning            persistentvolumeclaim/content-webnote-3   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-3"
65m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-3 Pod webnote-3 in StatefulSet webnote success
65m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-3   Successfully provisioned volume pvc-7048e30f-d102-4d4d-b31b-dfc98d956452
65m         Normal    Started                 pod/webnote-3                             Container started
65m         Normal    Scheduled               pod/webnote-3                             Successfully assigned dso202-practical-02/webnote-3 to worker-node-1
65m         Normal    Pulled                  pod/webnote-3                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
65m         Normal    Created                 pod/webnote-3                             Container created
65m         Normal    Created                 pod/webnote-3                             Container created
65m         Normal    Pulled                  pod/webnote-3                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
65m         Normal    Started                 pod/webnote-3                             Container started
65m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
65m         Normal    Killing                 pod/webnote-3                             Stopping container nginx
